question,answer
What is quantum state tomography?,Quantum state tomography reconstructs the full density matrix of a quantum state from measurements. Multiple measurement bases probe all state properties. Tomography requires exponentially many measurements for many qubits.
How many measurements does state tomography need?,Full state tomography of n qubits requires measurements in at least 3^n basis settings. The measurement overhead is exponential. This limits full tomography to small systems.
What is overcomplete tomography?,Overcomplete tomography uses more measurement settings than minimally required. Extra data improves statistical accuracy and robustness. Overcomplete data enables better reconstruction algorithms.
What is maximum likelihood state estimation?,Maximum likelihood finds the state most likely to produce the observed data. It handles statistical noise and enforces physical constraints like positivity. ML estimation is standard for state tomography.
What is compressed sensing tomography?,"Compressed sensing exploits sparsity to reduce measurement requirements. If the state has structure like low rank, fewer measurements suffice. This enables efficient tomography of certain state classes."
What is process tomography?,"Process tomography characterizes quantum operations by probing with known input states and measuring outputs. The full process matrix describes how any input transforms. Like state tomography, it requires exponential resources for large systems."
What is the chi matrix?,The chi matrix represents a quantum process in the Pauli basis. Each element describes how Pauli operators transform through the process. The chi matrix fully characterizes the operation including errors.
What is ancilla-assisted process tomography?,Ancilla-assisted tomography entangles system qubits with ancillas before the process. Measuring the output state on both reveals the process via the Choi isomorphism. This can be more efficient than standard process tomography.
What is the Choi state?,The Choi state is obtained by applying a process to half of a maximally entangled state. The resulting state encodes full information about the process. The Choi matrix is isomorphic to the process matrix.
What is detector tomography?,Detector tomography characterizes measurement devices. Known input states are measured and outcomes analyzed. The result is a POVM description of the detector.
What is self-consistent tomography?,"Self-consistent methods characterize state preparation, operations, and measurement together without assuming any are perfect. Gate set tomography is a self-consistent approach. This handles calibration errors that bias standard tomography."
Why is gate set tomography self-consistent?,"GST treats preparation, gates, and measurement as unknowns to be determined together. No reference operation is assumed ideal. Self-consistency reveals errors that propagate through the characterization process."
What are fiducials in tomography?,Fiducials are preparation and measurement sequences chosen to be informationally complete. They ensure tomography probes all relevant properties. Standard fiducial sets work for arbitrary gate sets.
What are germs in characterization?,Germs are short gate sequences designed to amplify specific error types when repeated. Long germ powers magnify small errors. Different germs target different error mechanisms.
Why is randomized benchmarking robust to SPAM?,Randomized benchmarking separates gate errors from state preparation and measurement errors through its exponential decay analysis. SPAM errors affect the initial offset but not the decay rate. This separation makes RB a reliable gate quality metric.
How does randomized benchmarking work?,RB applies sequences of random Clifford gates followed by an inverting gate. The probability of returning to the initial state decays exponentially with sequence length. The decay constant gives the error per gate.
What is the RB decay curve?,The RB decay curve plots survival probability versus sequence length. Exponential decay indicates Markovian errors. Deviations from exponential reveal non-Markovian effects or context-dependent errors.
What does RB error rate mean?,"The RB error rate is the depolarizing-equivalent error probability per gate. It averages over all error types and input states. While simplified, it provides a useful single-number characterization."
What is interleaved RB for specific gates?,Interleaved RB inserts a target gate between random gates. Comparing decay rates with and without interleaving isolates the target gate error. This characterizes individual gates within a calibrated set.
What is simultaneous RB for crosstalk?,Simultaneous RB runs benchmarking on multiple qubits in parallel. Comparison with individual RB reveals crosstalk errors from parallel operation. This characterizes realistic multi-qubit performance.
What is character randomized benchmarking?,Character RB measures coherent error components by tracking specific Pauli expectation values through random sequences. It distinguishes coherent from incoherent errors. This guides targeted error correction.
What is unitarity benchmarking?,Unitarity benchmarking measures the coherence of errors. Highly coherent errors might be correctable by recalibration. Low unitarity indicates incoherent noise requiring error correction rather than calibration.
How does XEB validate quantum circuit execution?,XEB validates circuit execution by comparing measured output distributions against classical predictions. The linear cross-entropy fidelity measures how much measured probabilities exceed random chance. High XEB values indicate the quantum circuit is performing correctly.
How does XEB estimate fidelity?,XEB computes how much measured probabilities exceed random chance compared to ideal predictions. Higher linear cross-entropy indicates better agreement with ideal simulation. The metric estimates overall circuit fidelity.
What is mirror benchmarking?,"Mirror benchmarking applies a circuit forward then backward, returning to the initial state ideally. Deviation from ideal return measures total circuit error. This efficiently estimates layered circuit fidelity."
What is direct fidelity estimation?,Direct fidelity estimation measures fidelity without full tomography using sampling techniques. Random Pauli measurements give unbiased fidelity estimates. DFE is efficient for estimating closeness to known target states.
What is shadow estimation?,Shadow estimation uses random measurements to create classical shadows of quantum states. Many observables can be estimated from the same shadow data. This enables efficient characterization of many properties.
How do classical shadows work?,Random single-qubit measurements create snapshot classical descriptions. Each snapshot partially characterizes the state. Combining many snapshots enables estimating diverse observables efficiently.
What properties can shadows estimate?,"Shadows can estimate fidelities, entanglement witnesses, and local observables. Properties involving few-body correlations are efficiently accessible. Global properties may require exponentially many shadows."
What is Pauli noise learning?,Pauli noise learning characterizes stochastic Pauli errors on gates efficiently. Randomized protocols estimate the probability of each Pauli error type. This targeted characterization guides error mitigation.
What is cycle error reconstruction?,Cycle error reconstruction characterizes errors of complete circuit layers including crosstalk. It captures realistic operating conditions better than individual gate characterization. Results predict algorithm performance.
What is spectator qubit tomography?,Spectator tomography measures how operating on some qubits affects idle spectators. This quantifies crosstalk and leakage to neighboring qubits. Understanding spectator errors guides layout and scheduling.
What is leakage benchmarking?,Leakage benchmarking measures population transfer outside the computational subspace. Repeated gates or specific sequences amplify leakage. Quantifying leakage guides pulse optimization and leakage removal protocols.
What is T1 measurement?,T1 is measured by preparing the excited state and tracking decay probability over time. Exponential fit gives the T1 time. Regular T1 measurement monitors qubit health and calibration status.
What is T2 Ramsey measurement?,"T2 Ramsey uses a Hadamard, wait, Hadamard sequence. The final state oscillates and decays with the wait time. The decay envelope measures T2 star including slow frequency drift."
What is T2 echo measurement?,"T2 echo inserts a refocusing pi pulse between two wait periods. This removes slow drift, measuring the intrinsic T2. Comparing T2 echo to T2 Ramsey reveals the contribution of low-frequency noise."
How do qubits reveal environmental noise spectra?,Qubits act as noise sensors through their decoherence behavior. Different dynamical decoupling sequences probe different frequency ranges. Measuring coherence under various sequences maps out the noise power spectral density.
What is the filter function formalism?,The filter function describes how a pulse sequence responds to noise at different frequencies. It connects noise spectra to decoherence rates. Designing sequences with specific filter functions targets particular noise types.
What is Rabi oscillation measurement?,Rabi oscillations measure qubit response to driving. Varying pulse amplitude or duration shows oscillation between states. Rabi measurements calibrate pulse amplitudes for gate implementation.
What is the Rabi frequency?,The Rabi frequency is the oscillation rate between qubit states under driving. Higher drive power gives higher Rabi frequency. The Rabi frequency determines how fast gates can be.
What is a chevron pattern?,Chevron patterns appear when sweeping both frequency and time of a two-qubit interaction. The pattern reveals the interaction strength and optimal parameters. Chevron measurements calibrate two-qubit gates.
What is frequency calibration?,Frequency calibration determines exact qubit transition frequencies. Ramsey or spectroscopy measurements reveal the frequency. Regular calibration tracks drift and maintains gate accuracy.
What is amplitude calibration?,Amplitude calibration sets pulse amplitudes for precise rotations. Rabi oscillation and amplified rotation sequences determine correct amplitudes. Calibration must track drift in the control chain.
How is the DRAG coefficient optimized experimentally?,"The DRAG coefficient is optimized by running sequences that amplify leakage errors, like repeated pi/2 gates. Measuring leakage versus coefficient reveals the optimal value. The calibration must be redone when system parameters drift."
What is readout calibration?,Readout calibration determines the confusion matrix for measurement. Preparing known states and measuring gives error probabilities. Calibration enables readout error correction.
What is a coherence benchmark?,"Coherence benchmarks track T1, T2, and gate fidelities over time. Trends reveal drift and degradation. Regular benchmarking ensures system health and guides maintenance."
What is calibration drift?,"Calibration drift is gradual change in optimal parameters over time. Temperature variations, material changes, and external fields cause drift. Tracking and compensating drift maintains performance."
What is calibration frequency?,Calibration frequency is how often recalibration is needed. Faster drift requires more frequent calibration. Balancing calibration overhead against performance degradation optimizes operations.
What is an error model?,"An error model mathematically describes how errors affect quantum operations. Models specify error types, rates, and correlations. Accurate error models enable realistic simulation and error mitigation design."
How do Pauli error models simplify analysis?,"Pauli models represent all errors as probabilistic combinations of X, Y, and Z operations. This discrete representation enables efficient simulation and analysis. Many error correction proofs assume Pauli error models."
What is stochastic Pauli noise?,Stochastic Pauli noise randomly applies Pauli errors with specified probabilities. It models incoherent errors without systematic bias. Many error correction analyses assume stochastic Pauli noise.
Why does error type matter for correction?,Coherent errors from miscalibration can potentially be fixed by recalibration rather than encoding. Incoherent errors require error correction since they are fundamentally random. Distinguishing error types guides mitigation strategy.
How do coherent errors accumulate?,Coherent errors add deterministically and can grow linearly with circuit depth. Multiple over-rotations in the same direction compound. This makes coherent errors particularly problematic for deep circuits.
How do incoherent errors accumulate?,"Incoherent errors add in quadrature, growing as square root of gate count for independent errors. The random nature causes partial cancellation. Incoherent errors are more amenable to statistical treatment."
What is the depolarizing error model?,"Depolarizing error applies random Pauli X, Y, or Z with equal probability. It models symmetric noise pushing toward maximally mixed state. Depolarizing is a common simplified error model."
What is biased noise?,Biased noise has unequal probabilities for different error types. Z errors might be more likely than X errors in certain systems. Codes optimized for biased noise can outperform symmetric codes.
What is asymmetric noise?,Asymmetric noise treats different error directions differently. Physical error mechanisms often create asymmetry. Exploiting asymmetry in code design improves error correction efficiency.
What is the dominant error mechanism?,The dominant error is the most frequent or impactful error type. Understanding dominance guides error correction and mitigation priorities. Systems are often optimized against their dominant errors.
What is correlated error?,"Correlated errors affect multiple qubits together from shared noise sources. Crosstalk, global fields, and cosmic rays cause correlations. Correlations complicate error correction which assumes independence."
What is spatially correlated noise?,Spatially correlated noise affects nearby qubits more than distant ones. Local noise sources create spatial patterns. Understanding spatial correlation guides qubit layout and code design.
What is temporally correlated noise?,"Temporally correlated noise varies slowly, affecting consecutive operations similarly. 1/f noise creates temporal correlations. Dynamical decoupling addresses temporal correlation through refocusing."
What is a local error model?,Local error models assume errors affect individual qubits independently. Multi-qubit correlations are neglected. Local models simplify analysis but may underestimate real error effects.
What is circuit-level noise?,Circuit-level noise models errors at each gate and idle location. This detailed model captures realistic error accumulation through circuits. Circuit-level simulation predicts algorithm performance.
How does error budgeting guide improvement?,Error budgeting identifies which error sources contribute most to total failure rate. Resources should target the largest budget items. A balanced budget indicates no single component dominates system error.
What is the error chain model?,Error chain models track how errors propagate through circuits. Errors on early gates can spread to multiple qubits. Understanding error chains guides fault-tolerant design.
Why is error propagation important for fault tolerance?,"Error propagation determines how local errors become global failures. If single errors can spread to many qubits, correction becomes impossible. Fault-tolerant designs limit propagation to maintain correctability."
How do errors propagate through CNOT?,X errors on control propagate to both control and target. Z errors on target remain on target but do not spread. This asymmetric propagation affects error correction code design.
What is a threshold error rate?,"The threshold is the maximum physical error rate allowing fault-tolerant computation. Below threshold, logical error decreases with more encoding. Above threshold, errors overwhelm correction."
What determines the threshold?,"Threshold depends on error correction code, decoder, and error model. Surface codes have thresholds around 1% for depolarizing noise. Biased noise can have higher thresholds with tailored codes."
What is the pseudothreshold?,"The pseudothreshold is where encoded and physical error rates are equal for finite code distance. Below pseudothreshold, encoding helps. The pseudothreshold is lower than the asymptotic threshold."
What is teraquop error rate?,Teraquop error rates enable trillion quantum operations with acceptable total error. This requires gate errors around 10^-12 or less. Teraquop computing is needed for large fault-tolerant algorithms.
How is error rate measured?,"Error rates are measured through randomized benchmarking, tomography, or dedicated error amplification sequences. Multiple characterization methods give complementary information. Regular measurement tracks calibration."
What is the error per gate?,Error per gate quantifies the probability of error for each gate. Two-qubit gates typically have higher error than single-qubit gates. Gate error is a primary figure of merit for quantum hardware.
What is the error per cycle?,Error per cycle measures error in one round of operations including gates and idles. This captures realistic circuit behavior. Error per cycle predicts algorithm success probability.
How does idle time degrade quantum states?,"During idle time, T1 decay causes excited states to relax and dephasing scrambles phases. Residual couplings between qubits cause unwanted entanglement. Longer idle times accumulate more error, motivating compact circuit scheduling."
How does crosstalk scale with system size?,"Crosstalk typically increases with qubit density as qubits are packed closer together. More qubits mean more potential crosstalk pairs. Managing crosstalk through layout, frequency assignment, and calibration becomes harder at scale."
How do leaked qubits cause problems?,Leaked qubits outside the computational space respond unpredictably to gates designed for computational states. They can transfer errors to other qubits through entangling operations. Undetected leakage accumulates and eventually dominates errors.
What is measurement error in error models?,Measurement error misidentifies qubit states during readout. The confusion matrix quantifies measurement error. Readout error affects extracted information and error correction syndromes.
What is state preparation error?,"State preparation error leaves qubits in wrong initial states. Imperfect cooling, reset errors, and thermal excitation contribute. Good initialization is essential for algorithm success."
What is SPAM error?,SPAM combines state preparation and measurement error. RB separates gate error from SPAM. SPAM errors limit characterization accuracy and algorithm fidelity.
What is the Pauli twirl approximation?,Pauli twirling averages arbitrary errors to effective Pauli errors through random Pauli frame changes. This simplifies error analysis while capturing essential behavior. Twirled errors are easier to correct.
What is Twirling in error mitigation?,Twirling applies random gates that transform errors. Coherent errors become incoherent through twirling. The averaged error channel is more tractable for correction and analysis.
What is a noise model from calibration data?,"Realistic noise models use measured error rates, coherence times, and crosstalk data. Models from calibration predict real device behavior. Accurate models enable reliable algorithm simulation."
What is a device-specific noise model?,"Device-specific models incorporate individual qubit properties and couplings. Each qubit may have different T1, T2, and error rates. Device-specific simulation matches real hardware most closely."
What is a generic noise model?,Generic models use averaged or typical error parameters. They enable algorithm analysis without specific hardware data. Generic models test algorithm robustness across device variations.
What simulator includes noise?,"Noisy simulators like Qiskit Aer with noise models, Cirq's DensityMatrixSimulator, and others include error effects. Noisy simulation predicts realistic performance and guides error mitigation development."
How do you validate noise models?,Validate noise models by comparing simulation to experiment on test circuits. Agreement indicates model accuracy. Discrepancies reveal missing error mechanisms or incorrect parameters.
What is noise-aware algorithm design?,Noise-aware design considers expected errors when constructing algorithms. Circuits may be structured to reduce error sensitivity. Error mitigation is built in from the start.
What is noise tailoring?,Noise tailoring modifies effective noise through randomization or encoding. Tailored noise may be easier to correct. Randomized compiling is a noise tailoring technique.
What is the logical error rate?,Logical error rate is the error probability for encoded logical qubits after error correction. Good codes suppress logical error exponentially with code size. Logical error rate determines fault-tolerant algorithm success.
What is error suppression versus correction?,Error suppression reduces error rates through better hardware and calibration. Error correction uses redundancy to fix errors that occur. Both approaches contribute to fault-tolerant quantum computing.
What is the role of error bars?,Error bars quantify uncertainty in estimated error rates and fidelities. Statistical fluctuations and systematic uncertainties contribute. Proper error analysis is essential for meaningful comparisons.
What is statistical uncertainty in benchmarks?,Statistical uncertainty comes from finite measurement samples. More shots reduce statistical uncertainty. Reported fidelities should include confidence intervals reflecting shot count.
What is systematic uncertainty in characterization?,"Systematic uncertainty comes from calibration drift, model assumptions, and experimental imperfections. It is harder to quantify than statistical uncertainty. Careful experimental design minimizes systematics."
How do error rates scale with system size?,"Error rates may increase with system size due to crosstalk, frequency crowding, and calibration complexity. Maintaining low error rates while scaling is a central challenge for quantum computing."
What is the Bell measurement?,"A Bell measurement projects two qubits onto one of the four Bell states. It distinguishes maximally entangled states. Bell measurements are essential for teleportation, entanglement swapping, and some error correction schemes."
How is Bell measurement implemented?,"Bell measurement uses CNOT followed by Hadamard on the control, then computational basis measurement of both qubits. The four outcomes correspond to the four Bell states. This circuit reverses Bell state preparation."
What is parity measurement?,Parity measurement determines whether qubits have even or odd parity without revealing individual values. It projects onto the parity eigenspace. Parity measurements are central to stabilizer-based error correction.
How is parity measured?,Parity is measured using ancilla qubits coupled to data qubits by CNOTs. The ancilla accumulates parity information. Measuring the ancilla reveals parity while preserving data qubit coherence.
What is syndrome measurement?,Syndrome measurement extracts error information from encoded qubits. Multiple stabilizer generators are measured to identify which errors occurred. The syndrome guides correction without revealing logical information.
What is non-destructive measurement?,Non-destructive measurement extracts information while preserving the measured property. QND measurements can be repeated with the same result. This is valuable for monitoring quantum states continuously.
What is demolition measurement?,Demolition measurement destroys the quantum state being measured. Standard computational basis measurement is demolition since it collapses superpositions. Most quantum measurements are demolition.
What is adaptive measurement?,Adaptive measurement adjusts later measurement settings based on earlier outcomes. This optimizes information extraction. Adaptive protocols can outperform fixed measurement strategies.
What is measurement-based state discrimination?,"State discrimination distinguishes between possible quantum states. For non-orthogonal states, perfect discrimination is impossible. Optimal measurements maximize discrimination probability given prior information."
What is minimum error discrimination?,"Minimum error discrimination minimizes misidentification probability between possible states. The optimal measurement depends on prior probabilities. For two states, the Helstrom bound gives the minimum error."
What is unambiguous state discrimination?,"Unambiguous discrimination never misidentifies states but sometimes gives inconclusive results. When a result is reported, it is guaranteed correct. This trades success rate for certainty."
What is the Helstrom bound?,The Helstrom bound is the minimum error probability for distinguishing two quantum states. It depends on the overlap between states. More overlapping states are harder to distinguish.
What is quantum hypothesis testing?,Quantum hypothesis testing determines which of several hypotheses about a quantum system is true. Measurement strategies are optimized for error rate or other metrics. This generalizes classical hypothesis testing.
What is quantum parameter estimation?,Parameter estimation determines unknown parameters encoded in quantum states. Examples include phase estimation and frequency measurement. Quantum resources can improve estimation precision beyond classical limits.
What is the quantum Cramer-Rao bound?,The quantum Cramer-Rao bound limits estimation precision from quantum Fisher information. It is the quantum analog of the classical precision bound. Optimal measurements saturate this bound.
What is quantum Fisher information?,Quantum Fisher information quantifies how much a quantum state changes with a parameter. Higher Fisher information enables more precise estimation. Entanglement can enhance Fisher information.
What is Heisenberg-limited measurement?,"Heisenberg-limited measurement achieves precision scaling as 1/N with N resources, rather than the classical 1/sqrt(N). Entanglement enables Heisenberg scaling. This quadratic improvement motivates quantum metrology."
What is shot-noise limited measurement?,Shot-noise limited measurement has precision scaling as 1/sqrt(N). This is the classical limit from independent measurements. Overcoming shot noise requires quantum correlations.
What is quantum metrology?,Quantum metrology uses quantum resources to enhance measurement precision. Entanglement and squeezing improve beyond classical limits. Applications include gravitational wave detection and atomic clocks.
What is a quantum sensor?,"A quantum sensor uses quantum properties for measurement. Qubits can sense magnetic fields, electric fields, and other quantities. Quantum sensors exploit coherence for enhanced sensitivity."
What is NV center magnetometry?,NV centers in diamond detect magnetic fields through their spin-dependent fluorescence. Field variations shift spin resonances. NV magnetometers achieve nanoscale resolution at room temperature.
What is squeezed state metrology?,Squeezed states have reduced uncertainty in one variable below the vacuum level. This reduction enables more precise measurement of that variable. Squeezed light improves interferometer sensitivity.
What is entanglement-enhanced sensing?,Entangled states can achieve measurement precision beyond what separable states allow. GHZ and other entangled states enable Heisenberg-limited sensing. Noise often degrades the enhancement in practice.
What is quantum illumination?,Quantum illumination detects objects using entangled light. One beam probes the target while the other is retained for comparison. Entanglement provides advantage even when the signal is lost in noise.
What is quantum reading?,Quantum reading discriminates between possible data encoded in physical systems. Quantum strategies can read data more reliably than classical approaches. This applies to optical memory and communication.
What is single-qubit measurement?,Single-qubit measurement determines the state of one qubit in a multi-qubit system. The other qubits may remain unmeasured. Single-qubit readout capability is essential for error correction.
What is multiplexed measurement?,Multiplexed measurement reads multiple qubits through shared resources. Frequency multiplexing distinguishes qubits by their readout resonator frequencies. Multiplexing reduces hardware complexity.
What is frequency-multiplexed readout?,Frequency-multiplexed readout assigns different frequencies to different qubits. A broadband pulse probes all frequencies simultaneously. Signal processing separates individual qubit responses.
What is time-multiplexed measurement?,Time-multiplexed measurement reads qubits sequentially rather than simultaneously. This simplifies hardware but increases total measurement time. Time multiplexing trades speed for reduced complexity.
What is heralded state preparation?,Heralded preparation uses measurement outcomes to verify successful state creation. Failed attempts are detected and discarded. Heralding improves effective preparation fidelity at the cost of success rate.
What is post-selected measurement?,Post-selection keeps only results meeting certain criteria. Unsuccessful outcomes are discarded. Post-selection can dramatically improve apparent fidelity but does not represent complete system behavior.
What is the role of measurement in error correction?,Measurement extracts syndrome information identifying which errors occurred. The syndrome determines correction operations. Measurement must be fast enough to catch errors before they spread.
What is fast feedback from measurement?,Fast feedback applies corrections based on measurement results within coherence time. Low-latency processing is essential. Real-time classical computation determines appropriate corrections.
What is the measurement latency requirement?,Latency must be short compared to error rates and coherence times. Microsecond-scale latency is needed for superconducting qubits. Achieving low latency requires specialized hardware and algorithms.
What is measurement-free error correction?,Measurement-free schemes use dissipation or autonomous feedback rather than explicit measurement. Engineered environments correct errors continuously. This avoids measurement latency constraints.
What is continuous quantum measurement?,Continuous measurement monitors quantum systems with ongoing weak measurements. The measurement record provides real-time information. Continuous monitoring enables feedback stabilization.
What is quantum trajectory unraveling?,Trajectory unraveling describes continuous measurement as a sequence of random jumps and continuous evolution. Each trajectory represents one possible measurement record. Averaging over trajectories recovers average dynamics.
What is homodyne detection?,Homodyne detection measures one quadrature of an electromagnetic field by interference with a local oscillator. It provides continuous measurement of field amplitude or phase. Homodyne is used in optical quantum computing.
What is heterodyne detection?,Heterodyne detection measures both quadratures simultaneously at the cost of added noise. It provides full field information with fundamental quantum noise. Heterodyne is complementary to homodyne for different applications.
What is photon counting measurement?,"Photon counting detects individual photons, providing discrete measurement outcomes. The photon number distribution is measured directly. Photon counting is essential for photonic quantum computing."
What is photon number resolving detection?,"Photon number resolving detectors distinguish different photon numbers, not just presence versus absence. This enables measurement of Fock states. PNR detection is important for bosonic quantum computing."
What is transition edge sensor detection?,Transition edge sensors detect photons through their heating effect on a superconductor at its transition temperature. They provide photon number resolution. TES detectors achieve high efficiency and resolution.
What is superconducting nanowire detection?,Superconducting nanowire single-photon detectors identify photons by their disruption of superconductivity. They offer high efficiency and low timing jitter. SNSPDs are widely used in quantum optics experiments.
What is balanced detection?,Balanced detection uses two detectors to cancel common-mode noise. Signal appears as the difference between detectors. Balanced schemes improve signal-to-noise in optical measurements.
What is measurement-device-independent QKD?,MDI-QKD removes measurement device vulnerability from quantum key distribution. The measurement device can be untrusted or even controlled by an adversary. Security relies only on state preparation.
What is a measurement-induced phase transition?,Measurement-induced phase transitions occur when measurement rates change the entanglement structure of quantum states. High measurement rates suppress entanglement. These transitions are an active research topic.
What is the measurement rate threshold?,"The measurement rate threshold marks the transition between volume-law and area-law entanglement in monitored systems. Below threshold, entanglement spreads throughout the system. Above threshold, measurement confines entanglement."
How does measurement affect many-body entanglement?,Measurement can both create and destroy entanglement in many-body systems. Local measurements on entangled states can project distant qubits into entangled states. Competition between unitary dynamics and measurement creates rich physics.
What is the measurement-disturbance relation?,Measurement accuracy and state disturbance are fundamentally linked. More accurate measurement causes more disturbance. This trade-off is formalized in measurement-disturbance inequalities extending Heisenberg uncertainty.
What is the Arthurs-Kelly relation?,The Arthurs-Kelly relation bounds joint measurement precision of non-commuting observables. Measuring position and momentum together has unavoidable combined uncertainty. This generalizes Heisenberg to simultaneous measurements.
What is joint measurement of non-commuting observables?,Joint measurement extracts partial information about non-commuting observables simultaneously. Neither is measured with full precision. The trade-off between precisions follows fundamental bounds.
What is the information-disturbance trade-off?,Information extraction and state disturbance trade off according to quantum mechanics. No measurement provides information without disturbing the state. Minimizing disturbance limits information gain.
What is gentle measurement?,"Gentle measurement extracts small amounts of information with proportionally small disturbance. When the measurement outcome is nearly certain, disturbance can be minimal. Gentle measurements approach non-disturbance for known states."
What is the no-broadcasting theorem?,"The no-broadcasting theorem says quantum states cannot be copied to multiple parties even partially. Unlike classical information that can be broadcast freely, quantum information cannot spread without disturbance."
What is the no-hiding theorem?,The no-hiding theorem states that quantum information cannot disappear; it must go somewhere. Information apparently lost to decoherence exists in system-environment correlations. Information conservation is fundamental.
What is environment-induced superselection?,Environmental interaction selects preferred bases where superpositions decohere rapidly. Only states diagonal in the preferred basis remain stable. This explains why certain superpositions are never observed.
What is einselection?,Einselection is environment-induced superselection that picks out classical-like pointer states. The environment monitors systems in certain bases. Robust states become the einselected pointer basis.
What is quantum to classical transition?,The quantum to classical transition is the emergence of classical behavior from quantum mechanics. Decoherence destroys quantum superpositions. The transition is not sharp but depends on system-environment interaction strength.
What is the measurement of entanglement?,"Entanglement measures quantify quantum correlations. Common measures include entanglement entropy, concurrence, and negativity. Measuring entanglement typically requires tomography or entanglement witnesses."
How do entanglement witnesses detect non-classical correlations?,Entanglement witnesses are observables with positive expectation on all separable states but negative on some entangled states. A single negative measurement result proves entanglement. This efficient detection avoids the exponential cost of full tomography.
What is local measurement of entanglement?,Local measurements on individual subsystems cannot fully reveal entanglement. Correlations between local outcomes show entanglement. Local operations and classical communication cannot increase entanglement.
What is entanglement distillation?,Entanglement distillation extracts high-quality entangled pairs from many noisy pairs. Local operations and classical communication purify entanglement. Distillation is essential for quantum communication over noisy channels.
What is bound entanglement?,Bound entanglement is entanglement that cannot be distilled into pure entangled states. It is undistillable despite being non-separable. Bound entanglement represents a curious intermediate form of quantum correlation.
What is PPT criterion for entanglement?,"The positive partial transpose criterion detects entanglement. If partial transpose has negative eigenvalues, the state is entangled. PPT is necessary and sufficient for entanglement in 2x2 and 2x3 systems."
What is negativity as entanglement measure?,Negativity quantifies how much partial transpose eigenvalues are negative. It is computable from the density matrix. Negativity provides a practical entanglement measure related to distillable entanglement.
What is the concurrence?,Concurrence is an entanglement measure for two-qubit states. It ranges from 0 for separable states to 1 for maximally entangled. Concurrence relates to entanglement of formation through a formula.
What does entanglement entropy reveal about quantum correlations?,Entanglement entropy measures quantum correlations by computing the von Neumann entropy of a subsystem's reduced density matrix. Pure product states have zero entropy while maximally entangled states have maximum entropy. This quantity characterizes information shared between subsystems.
What is area law entanglement?,Area law states that entanglement entropy scales with boundary area rather than volume. Ground states of local Hamiltonians typically obey area law. Area law enables efficient classical simulation.
What is volume law entanglement?,Volume law entanglement scales with system volume. Highly excited states and states produced by chaotic dynamics often show volume law. Volume law states are hard to simulate classically.
Why can't entanglement be freely shared among many parties?,Entanglement monogamy restricts how quantum correlations distribute. A qubit maximally entangled with one party cannot be entangled with any other party. This fundamental constraint protects quantum key distribution from eavesdroppers sharing secret correlations.
What is the Coffman-Kundu-Wootters inequality?,The CKW inequality quantifies entanglement monogamy. The sum of squared concurrences with multiple partners is bounded. This formalizes the restriction on entanglement sharing.
What is multipartite entanglement?,Multipartite entanglement involves correlations among more than two parties. GHZ and W states are examples. Classifying multipartite entanglement is more complex than bipartite.
What is genuine multipartite entanglement?,Genuine multipartite entanglement cannot be decomposed into bipartite entanglement between subgroups. All parties are essentially involved in the entanglement. GHZ states have genuine multipartite entanglement.
What is the GHZ paradox?,The GHZ paradox shows quantum mechanics contradicts local hidden variables with certainty rather than statistically. Perfect correlations in GHZ states violate local realism. This strengthens Bell's theorem.
What is the EPR paradox relation to measurement?,The EPR paradox highlighted non-local correlations revealed by measurement. Measuring one particle appears to instantly affect the other. This stimulated decades of research on quantum foundations.
What is steering in quantum mechanics?,Steering is the ability to affect a distant system's state by local measurement. It is intermediate between entanglement and Bell non-locality. Steering enables one-sided device-independent cryptography.
What is a Bell inequality test?,Bell inequality tests measure correlations between distant measurements on entangled particles. Violations prove quantum mechanics cannot be explained by local hidden variables. Loophole-free tests have been achieved.
What is the CHSH inequality?,The CHSH inequality is a specific Bell inequality for two binary measurements on each of two particles. Quantum mechanics violates CHSH up to 2√2 versus classical limit of 2. This violation demonstrates quantum non-locality.
What is the detection loophole?,The detection loophole allows local hidden variable explanations when many particles are not detected. Missing detections might conspire to create apparent violation. Closing this loophole requires high detection efficiency.
What is the locality loophole?,"The locality loophole allows hidden communication between measurement stations. If measurement choices could influence the other side, hidden variables could explain correlations. Space-like separation closes this loophole."
What makes Bell tests experimentally challenging?,Bell tests require simultaneously closing multiple loopholes. Space-like separation prevents hidden communication. High detection efficiency prevents sampling bias. Random measurement choices prevent predetermined results. Achieving all conditions demanded decades of technological progress.
What is contextuality in measurement?,Contextuality means measurement outcomes depend on which other compatible measurements are performed. It is a quantum property without classical analog. Contextuality may be a resource for quantum computation.
What is the Kochen-Specker theorem?,The Kochen-Specker theorem proves quantum mechanics is contextual. No assignment of pre-existing values to all observables is consistent with quantum predictions. This rules out certain hidden variable theories.
What is the role of measurement in quantum foundations?,"Measurement is central to quantum interpretation debates. How and why measurement causes collapse, whether collapse is real, and what makes measurement special remain debated. Different interpretations give different answers."
What is the Copenhagen interpretation view of measurement?,Copenhagen treats measurement as a primitive process causing collapse. The observer or measurement device is distinct from the quantum system. This pragmatic view works for predictions but leaves foundational questions.
What is the many-worlds view of measurement?,"Many-worlds denies collapse; all outcomes occur in branching worlds. Measurement entangles observer with system, creating subjective appearance of one outcome. This avoids collapse but posits many unobservable worlds."
